Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:11	367487	mimejpeg			rc://*/tw/dict/images/s/seal-wax-close
1:11	368080	mimejpeg			rc://*/tw/dict/images/s/seal-wax
1:11	368087	mimejpeg			rc://*/tw/dict/images/s/seal-wax-view
1:12	367487	mimejpeg			rc://*/tw/dict/images/s/seal-wax-close
1:12	368080	mimejpeg			rc://*/tw/dict/images/s/seal-wax
1:12	368087	mimejpeg			rc://*/tw/dict/images/s/seal-wax-view
1:13	367487	mimejpeg			rc://*/tw/dict/images/s/seal-wax-close
1:13	368080	mimejpeg			rc://*/tw/dict/images/s/seal-wax
1:13	368087	mimejpeg			rc://*/tw/dict/images/s/seal-wax-view
1:14	367487	mimejpeg			rc://*/tw/dict/images/s/seal-wax-close
1:14	368080	mimejpeg			rc://*/tw/dict/images/s/seal-wax
1:14	368087	mimejpeg			rc://*/tw/dict/images/s/seal-wax-view
3:14	368085	mimejpeg			rc://*/tw/dict/images/s/stone-foundation-view
3:14	368135	mimejpeg			rc://*/tw/dict/images/s/stone-foundation-visual
3:14	368147	mimejpeg			rc://*/tw/dict/images/s/stone-foundation
3:15	368085	mimejpeg			rc://*/tw/dict/images/s/stone-foundation-view
3:15	368135	mimejpeg			rc://*/tw/dict/images/s/stone-foundation-visual
3:15	368147	mimejpeg			rc://*/tw/dict/images/s/stone-foundation
3:16	368085	mimejpeg			rc://*/tw/dict/images/s/stone-foundation-view
3:16	368135	mimejpeg			rc://*/tw/dict/images/s/stone-foundation-visual
3:16	368147	mimejpeg			rc://*/tw/dict/images/s/stone-foundation
3:17	368085	mimejpeg			rc://*/tw/dict/images/s/stone-foundation-view
3:17	368135	mimejpeg			rc://*/tw/dict/images/s/stone-foundation-visual
3:17	368147	mimejpeg			rc://*/tw/dict/images/s/stone-foundation
3:18	368085	mimejpeg			rc://*/tw/dict/images/s/stone-foundation-view
3:18	368135	mimejpeg			rc://*/tw/dict/images/s/stone-foundation-visual
3:18	368147	mimejpeg			rc://*/tw/dict/images/s/stone-foundation
3:19	368085	mimejpeg			rc://*/tw/dict/images/s/stone-foundation-view
3:19	368135	mimejpeg			rc://*/tw/dict/images/s/stone-foundation-visual
3:19	368147	mimejpeg			rc://*/tw/dict/images/s/stone-foundation
3:20	368085	mimejpeg			rc://*/tw/dict/images/s/stone-foundation-view
3:20	368135	mimejpeg			rc://*/tw/dict/images/s/stone-foundation-visual
3:20	368147	mimejpeg			rc://*/tw/dict/images/s/stone-foundation
3:21	368085	mimejpeg			rc://*/tw/dict/images/s/stone-foundation-view
3:21	368135	mimejpeg			rc://*/tw/dict/images/s/stone-foundation-visual
3:21	368147	mimejpeg			rc://*/tw/dict/images/s/stone-foundation
