Reference	ID	Tags	OrigWords	Occurrence	TWLink
2:1	279773	mimejpg			rc://*/tm/dict/images/r/river-nile-edge.jpg
2:1	279778	mimejpg			rc://*/tm/dict/images/p/plant-papyrus.jpg
2:1	279874	mimejpg			rc://*/tm/dict/images/r/river-nile-edges.jpg
2:1	279917	mimejpg			rc://*/tm/dict/images/r/river-niles-edge.jpg
2:1	279940	mimejpg			rc://*/tm/dict/images/p/plant-papyrus-riverbank.jpg
2:1	296199	mimejpg			rc://*/tm/dict/images/p/plant-papyrus-close.jpg
2:2	279773	mimejpg			rc://*/tm/dict/images/r/river-nile-edge.jpg
2:2	279778	mimejpg			rc://*/tm/dict/images/p/plant-papyrus.jpg
2:2	279874	mimejpg			rc://*/tm/dict/images/r/river-nile-edges.jpg
2:2	279917	mimejpg			rc://*/tm/dict/images/r/river-niles-edge.jpg
2:2	279940	mimejpg			rc://*/tm/dict/images/p/plant-papyrus-riverbank.jpg
2:2	296199	mimejpg			rc://*/tm/dict/images/p/plant-papyrus-close.jpg
2:3	279773	mimejpg			rc://*/tm/dict/images/r/river-nile-edge.jpg
2:3	279778	mimejpg			rc://*/tm/dict/images/p/plant-papyrus.jpg
2:3	279874	mimejpg			rc://*/tm/dict/images/r/river-nile-edges.jpg
2:3	279917	mimejpg			rc://*/tm/dict/images/r/river-niles-edge.jpg
2:3	279940	mimejpg			rc://*/tm/dict/images/p/plant-papyrus-riverbank.jpg
2:3	296199	mimejpg			rc://*/tm/dict/images/p/plant-papyrus-close.jpg
2:4	279773	mimejpg			rc://*/tm/dict/images/r/river-nile-edge.jpg
2:4	279778	mimejpg			rc://*/tm/dict/images/p/plant-papyrus.jpg
2:4	279874	mimejpg			rc://*/tm/dict/images/r/river-nile-edges.jpg
2:4	279917	mimejpg			rc://*/tm/dict/images/r/river-niles-edge.jpg
2:4	279940	mimejpg			rc://*/tm/dict/images/p/plant-papyrus-riverbank.jpg
2:4	296199	mimejpg			rc://*/tm/dict/images/p/plant-papyrus-close.jpg
2:5	279773	mimejpg			rc://*/tm/dict/images/r/river-nile-edge.jpg
2:5	279778	mimejpg			rc://*/tm/dict/images/p/plant-papyrus.jpg
2:5	279874	mimejpg			rc://*/tm/dict/images/r/river-nile-edges.jpg
2:5	279917	mimejpg			rc://*/tm/dict/images/r/river-niles-edge.jpg
2:5	279940	mimejpg			rc://*/tm/dict/images/p/plant-papyrus-riverbank.jpg
2:5	296199	mimejpg			rc://*/tm/dict/images/p/plant-papyrus-close.jpg
2:6	279773	mimejpg			rc://*/tm/dict/images/r/river-nile-edge.jpg
