Reference	ID	Tags	OrigWords	Occurrence	TWLink
2:4	279632	mimejpeg			rc://*/tw/dict/images/o/onyx-full
2:4	279808	mimejpeg			rc://*/tw/dict/images/o/onyx-close
2:4	279943	mimejpeg			rc://*/tw/dict/images/o/onyx-hands
2:4	367489	mimejpeg			rc://*/tw/dict/images/f/fruit-wide
2:4	368074	mimejpeg			rc://*/tw/dict/images/f/fruit-close
2:4	368124	mimejpeg			rc://*/tw/dict/images/f/fruit-mid
2:5	279632	mimejpeg			rc://*/tw/dict/images/o/onyx-full
2:5	279808	mimejpeg			rc://*/tw/dict/images/o/onyx-close
2:5	279943	mimejpeg			rc://*/tw/dict/images/o/onyx-hands
2:5	367489	mimejpeg			rc://*/tw/dict/images/f/fruit-wide
2:5	368074	mimejpeg			rc://*/tw/dict/images/f/fruit-close
2:5	368124	mimejpeg			rc://*/tw/dict/images/f/fruit-mid
2:6	279632	mimejpeg			rc://*/tw/dict/images/o/onyx-full
2:6	279808	mimejpeg			rc://*/tw/dict/images/o/onyx-close
2:6	279943	mimejpeg			rc://*/tw/dict/images/o/onyx-hands
2:6	367489	mimejpeg			rc://*/tw/dict/images/f/fruit-wide
2:6	368074	mimejpeg			rc://*/tw/dict/images/f/fruit-close
2:6	368124	mimejpeg			rc://*/tw/dict/images/f/fruit-mid
2:7	279632	mimejpeg			rc://*/tw/dict/images/o/onyx-full
2:7	279808	mimejpeg			rc://*/tw/dict/images/o/onyx-close
2:7	279943	mimejpeg			rc://*/tw/dict/images/o/onyx-hands
2:7	367489	mimejpeg			rc://*/tw/dict/images/f/fruit-wide
2:7	368074	mimejpeg			rc://*/tw/dict/images/f/fruit-close
2:7	368124	mimejpeg			rc://*/tw/dict/images/f/fruit-mid
2:8	279632	mimejpeg			rc://*/tw/dict/images/o/onyx-full
2:8	279808	mimejpeg			rc://*/tw/dict/images/o/onyx-close
2:8	279943	mimejpeg			rc://*/tw/dict/images/o/onyx-hands
2:8	367489	mimejpeg			rc://*/tw/dict/images/f/fruit-wide
2:8	368074	mimejpeg			rc://*/tw/dict/images/f/fruit-close
2:8	368124	mimejpeg			rc://*/tw/dict/images/f/fruit-mid
2:9	279632	mimejpeg			rc://*/tw/dict/images/o/onyx-full
2:9	279808	mimejpeg			rc://*/tw/dict/images/o/onyx-close
2:9	279943	mimejpeg			rc://*/tw/dict/images/o/onyx-hands
