Reference	ID	Tags	OrigWords	Occurrence	TWLink
1:1	279807	mimejpeg			rc://*/tw/dict/images/w/wilderness
1:1	279846	mimejpeg			rc://*/tw/dict/images/s/sandals-wide
1:1	279889	mimejpeg			rc://*/tw/dict/images/r/river-jordan
1:1	279926	mimejpeg			rc://*/tw/dict/images/s/sandals
1:2	279807	mimejpeg			rc://*/tw/dict/images/w/wilderness
1:2	279846	mimejpeg			rc://*/tw/dict/images/s/sandals-wide
1:2	279889	mimejpeg			rc://*/tw/dict/images/r/river-jordan
1:2	279926	mimejpeg			rc://*/tw/dict/images/s/sandals
1:3	279807	mimejpeg			rc://*/tw/dict/images/w/wilderness
1:3	279846	mimejpeg			rc://*/tw/dict/images/s/sandals-wide
1:3	279889	mimejpeg			rc://*/tw/dict/images/r/river-jordan
1:3	279926	mimejpeg			rc://*/tw/dict/images/s/sandals
1:4	279807	mimejpeg			rc://*/tw/dict/images/w/wilderness
1:4	279846	mimejpeg			rc://*/tw/dict/images/s/sandals-wide
1:4	279889	mimejpeg			rc://*/tw/dict/images/r/river-jordan
1:4	279926	mimejpeg			rc://*/tw/dict/images/s/sandals
1:5	279807	mimejpeg			rc://*/tw/dict/images/w/wilderness
1:5	279846	mimejpeg			rc://*/tw/dict/images/s/sandals-wide
1:5	279889	mimejpeg			rc://*/tw/dict/images/r/river-jordan
1:5	279926	mimejpeg			rc://*/tw/dict/images/s/sandals
1:6	279807	mimejpeg			rc://*/tw/dict/images/w/wilderness
1:6	279846	mimejpeg			rc://*/tw/dict/images/s/sandals-wide
1:6	279889	mimejpeg			rc://*/tw/dict/images/r/river-jordan
1:6	279926	mimejpeg			rc://*/tw/dict/images/s/sandals
1:7	279807	mimejpeg			rc://*/tw/dict/images/w/wilderness
1:7	279846	mimejpeg			rc://*/tw/dict/images/s/sandals-wide
1:7	279889	mimejpeg			rc://*/tw/dict/images/r/river-jordan
1:7	279926	mimejpeg			rc://*/tw/dict/images/s/sandals
1:8	279807	mimejpeg			rc://*/tw/dict/images/w/wilderness
1:8	279846	mimejpeg			rc://*/tw/dict/images/s/sandals-wide
1:8	279889	mimejpeg			rc://*/tw/dict/images/r/river-jordan
1:8	279926	mimejpeg			rc://*/tw/dict/images/s/sandals
1:9	279807	mimejpeg			rc://*/tw/dict/images/w/wilderness
1:9	279846	mimejpeg			rc://*/tw/dict/images/s/sandals-wide
1:9	279889	mimejpeg			rc://*/tw/dict/images/r/river-jordan
1:9	279926	mimejpeg			rc://*/tw/dict/images/s/sandals
1:10	279807	mimejpeg			rc://*/tw/dict/images/w/wilderness
1:10	279846	mimejpeg			rc://*/tw/dict/images/s/sandals-wide
1:10	279889	mimejpeg			rc://*/tw/dict/images/r/river-jordan
1:10	279926	mimejpeg			rc://*/tw/dict/images/s/sandals
1:11	279807	mimejpeg			rc://*/tw/dict/images/w/wilderness
1:11	279846	mimejpeg			rc://*/tw/dict/images/s/sandals-wide
1:11	279889	mimejpeg			rc://*/tw/dict/images/r/river-jordan
1:11	279926	mimejpeg			rc://*/tw/dict/images/s/sandals
1:12	279807	mimejpeg			rc://*/tw/dict/images/w/wilderness
1:12	279846	mimejpeg			rc://*/tw/dict/images/s/sandals-wide
1:12	279889	mimejpeg			rc://*/tw/dict/images/r/river-jordan
1:12	279926	mimejpeg			rc://*/tw/dict/images/s/sandals
1:13	279807	mimejpeg			rc://*/tw/dict/images/w/wilderness
1:13	279846	mimejpeg			rc://*/tw/dict/images/s/sandals-wide
1:13	279889	mimejpeg			rc://*/tw/dict/images/r/river-jordan
1:13	279926	mimejpeg			rc://*/tw/dict/images/s/sandals
1:14	279689	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-western-shore
1:14	279771	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-north-shore
1:14	279870	mimejpeg			rc://*/tw/dict/images/f/fishing-net
1:14	279974	mimejpeg			rc://*/tw/dict/images/s/sea-of-galilee
1:14	279980	mimejpeg			rc://*/tw/dict/images/b/boat
1:15	279689	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-western-shore
1:15	279771	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-north-shore
1:15	279870	mimejpeg			rc://*/tw/dict/images/f/fishing-net
1:15	279974	mimejpeg			rc://*/tw/dict/images/s/sea-of-galilee
1:15	279980	mimejpeg			rc://*/tw/dict/images/b/boat
1:16	279689	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-western-shore
1:16	279771	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-north-shore
1:16	279870	mimejpeg			rc://*/tw/dict/images/f/fishing-net
1:16	279974	mimejpeg			rc://*/tw/dict/images/s/sea-of-galilee
1:16	279980	mimejpeg			rc://*/tw/dict/images/b/boat
1:17	279689	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-western-shore
1:17	279771	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-north-shore
1:17	279870	mimejpeg			rc://*/tw/dict/images/f/fishing-net
1:17	279974	mimejpeg			rc://*/tw/dict/images/s/sea-of-galilee
1:17	279980	mimejpeg			rc://*/tw/dict/images/b/boat
1:18	279689	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-western-shore
1:18	279771	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-north-shore
1:18	279870	mimejpeg			rc://*/tw/dict/images/f/fishing-net
1:18	279974	mimejpeg			rc://*/tw/dict/images/s/sea-of-galilee
1:18	279980	mimejpeg			rc://*/tw/dict/images/b/boat
1:19	279689	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-western-shore
1:19	279771	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-north-shore
1:19	279870	mimejpeg			rc://*/tw/dict/images/f/fishing-net
1:19	279974	mimejpeg			rc://*/tw/dict/images/s/sea-of-galilee
1:19	279980	mimejpeg			rc://*/tw/dict/images/b/boat
1:20	279689	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-western-shore
1:20	279771	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-north-shore
1:20	279870	mimejpeg			rc://*/tw/dict/images/f/fishing-net
1:20	279974	mimejpeg			rc://*/tw/dict/images/s/sea-of-galilee
1:20	279980	mimejpeg			rc://*/tw/dict/images/b/boat
1:21	279583	mimejpeg			rc://*/tw/dict/images/s/synagogue-inside-front
1:21	279590	mimejpeg			rc://*/tw/dict/images/s/synagogue-inside-side
1:21	279689	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-western-shore
1:21	279771	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-north-shore
1:21	279974	mimejpeg			rc://*/tw/dict/images/s/sea-of-galilee
1:21	296096	mimejpeg			rc://*/tw/dict/images/s/synagogue-outside
1:22	279583	mimejpeg			rc://*/tw/dict/images/s/synagogue-inside-front
1:22	279590	mimejpeg			rc://*/tw/dict/images/s/synagogue-inside-side
1:22	279689	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-western-shore
1:22	279771	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-north-shore
1:22	279974	mimejpeg			rc://*/tw/dict/images/s/sea-of-galilee
1:22	296096	mimejpeg			rc://*/tw/dict/images/s/synagogue-outside
1:23	279583	mimejpeg			rc://*/tw/dict/images/s/synagogue-inside-front
1:23	279590	mimejpeg			rc://*/tw/dict/images/s/synagogue-inside-side
1:23	279689	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-western-shore
1:23	279771	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-north-shore
1:23	279974	mimejpeg			rc://*/tw/dict/images/s/sea-of-galilee
1:23	296096	mimejpeg			rc://*/tw/dict/images/s/synagogue-outside
1:24	279583	mimejpeg			rc://*/tw/dict/images/s/synagogue-inside-front
1:24	279590	mimejpeg			rc://*/tw/dict/images/s/synagogue-inside-side
1:24	279689	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-western-shore
1:24	279771	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-north-shore
1:24	279974	mimejpeg			rc://*/tw/dict/images/s/sea-of-galilee
1:24	296096	mimejpeg			rc://*/tw/dict/images/s/synagogue-outside
1:25	279583	mimejpeg			rc://*/tw/dict/images/s/synagogue-inside-front
1:25	279590	mimejpeg			rc://*/tw/dict/images/s/synagogue-inside-side
1:25	279689	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-western-shore
1:25	279771	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-north-shore
1:25	279974	mimejpeg			rc://*/tw/dict/images/s/sea-of-galilee
1:25	296096	mimejpeg			rc://*/tw/dict/images/s/synagogue-outside
1:26	279583	mimejpeg			rc://*/tw/dict/images/s/synagogue-inside-front
1:26	279590	mimejpeg			rc://*/tw/dict/images/s/synagogue-inside-side
1:26	279689	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-western-shore
1:26	279771	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-north-shore
1:26	279974	mimejpeg			rc://*/tw/dict/images/s/sea-of-galilee
1:26	296096	mimejpeg			rc://*/tw/dict/images/s/synagogue-outside
1:27	279583	mimejpeg			rc://*/tw/dict/images/s/synagogue-inside-front
1:27	279590	mimejpeg			rc://*/tw/dict/images/s/synagogue-inside-side
1:27	279689	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-western-shore
1:27	279771	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-north-shore
1:27	279974	mimejpeg			rc://*/tw/dict/images/s/sea-of-galilee
1:27	296096	mimejpeg			rc://*/tw/dict/images/s/synagogue-outside
1:28	279583	mimejpeg			rc://*/tw/dict/images/s/synagogue-inside-front
1:28	279590	mimejpeg			rc://*/tw/dict/images/s/synagogue-inside-side
1:28	279689	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-western-shore
1:28	279771	mimejpeg			rc://*/tw/dict/images/s/sea-galilee-north-shore
1:28	279974	mimejpeg			rc://*/tw/dict/images/s/sea-of-galilee
1:28	296096	mimejpeg			rc://*/tw/dict/images/s/synagogue-outside
2:1	279680	mimejpeg			rc://*/tw/dict/images/h/house
2:1	279710	mimejpeg			rc://*/tw/dict/images/h/house-nazareth-wide
2:1	279726	mimejpeg			rc://*/tw/dict/images/s/sleeping-mat-lying
2:1	279801	mimejpeg			rc://*/tw/dict/images/s/sleeping-mat
2:1	279961	mimejpeg			rc://*/tw/dict/images/h/house-nazareth
2:1	296150	mimejpeg			rc://*/tw/dict/images/h/house-entrance-full
2:2	279680	mimejpeg			rc://*/tw/dict/images/h/house
2:2	279710	mimejpeg			rc://*/tw/dict/images/h/house-nazareth-wide
2:2	279726	mimejpeg			rc://*/tw/dict/images/s/sleeping-mat-lying
2:2	279801	mimejpeg			rc://*/tw/dict/images/s/sleeping-mat
2:2	279961	mimejpeg			rc://*/tw/dict/images/h/house-nazareth
2:2	296150	mimejpeg			rc://*/tw/dict/images/h/house-entrance-full
2:3	279680	mimejpeg			rc://*/tw/dict/images/h/house
2:3	279710	mimejpeg			rc://*/tw/dict/images/h/house-nazareth-wide
2:3	279726	mimejpeg			rc://*/tw/dict/images/s/sleeping-mat-lying
2:3	279801	mimejpeg			rc://*/tw/dict/images/s/sleeping-mat
2:3	279961	mimejpeg			rc://*/tw/dict/images/h/house-nazareth
2:3	296150	mimejpeg			rc://*/tw/dict/images/h/house-entrance-full
2:4	279680	mimejpeg			rc://*/tw/dict/images/h/house
2:4	279710	mimejpeg			rc://*/tw/dict/images/h/house-nazareth-wide
2:4	279726	mimejpeg			rc://*/tw/dict/images/s/sleeping-mat-lying
2:4	279801	mimejpeg			rc://*/tw/dict/images/s/sleeping-mat
2:4	279961	mimejpeg			rc://*/tw/dict/images/h/house-nazareth
2:4	296150	mimejpeg			rc://*/tw/dict/images/h/house-entrance-full
2:5	279680	mimejpeg			rc://*/tw/dict/images/h/house
2:5	279710	mimejpeg			rc://*/tw/dict/images/h/house-nazareth-wide
2:5	279726	mimejpeg			rc://*/tw/dict/images/s/sleeping-mat-lying
2:5	279801	mimejpeg			rc://*/tw/dict/images/s/sleeping-mat
2:5	279961	mimejpeg			rc://*/tw/dict/images/h/house-nazareth
2:5	296150	mimejpeg			rc://*/tw/dict/images/h/house-entrance-full
